attack,alpha,seed,active_frac,gate_mean,final_loss,mse,psnr,corr
inverting_gradients,1.0,18,0.9992559552192688,0.2114361971616745,0.011174168437719345,2.478964328765869,-11.362979885085029,0.18401412665843964
dlg,1.0,19,0.9678996205329895,0.19406796991825104,0.10406665503978729,9.444560050964355,-17.14161751731034,0.1628466695547104
idlg,1.0,19,0.9678996205329895,0.19908550381660461,0.11547976732254028,9.607011795043945,-17.215683433329634,0.16464342176914215
inverting_gradients,1.0,19,1.0,0.2216142863035202,0.0023292419500648975,0.527224600315094,-4.6097568567614555,0.408944696187973
dlg,2.0,0,0.9987244606018066,0.3584435284137726,0.08547400683164597,0.5375153422355652,-4.633389223702897,0.41551297903060913
idlg,2.0,0,0.9993622303009033,0.3671383559703827,0.08961643278598785,0.37863272428512573,-3.111662038331005,0.4608384370803833
inverting_gradients,2.0,0,0.9996811151504517,0.3635724186897278,0.012086142785847187,0.38830792903900146,-3.2212431628699223,0.4658236503601074
dlg,2.0,1,0.0,0.0,1.0783882141113281,7.820667294580736e+16,-176.26191868194093,-0.040613189339637756
idlg,2.0,1,0.0,0.0,4.312901973724365,4.921925868588106e+18,-194.25083125895839,-0.0992981567978859
inverting_gradients,2.0,1,1.0,0.39706820249557495,0.0013620423851534724,0.29652178287506104,-2.0500466029928335,0.5421945452690125
dlg,2.0,2,0.9511054158210754,0.32501715421676636,0.08197224885225296,5.004434585571289,-14.444519580471866,0.2527393400669098
idlg,2.0,2,0.9135841727256775,0.30982959270477295,0.08744416385889053,15.509204864501953,-19.356864739209037,0.10134969651699066
inverting_gradients,2.0,2,0.9827805757522583,0.32659193873405457,0.03648460656404495,1.9909617900848389,-10.441598664781,0.346402645111084
dlg,2.0,3,0.0,0.0,1.1986346244812012,8.078037476324182e+23,-246.4933357466201,0.04287044703960419
idlg,2.0,3,0.9974489808082581,0.34772664308547974,0.16319583356380463,0.5242953300476074,-4.616037004325253,0.3999634087085724
inverting_gradients,2.0,3,0.9997873902320862,0.3561285138130188,0.011485873721539974,0.2334614396095276,-1.102428702231025,0.5348533391952515
dlg,2.0,4,1.0,0.39346539974212646,0.006373201496899128,0.06004872918128967,4.9153297371259645,0.8315859436988831
idlg,2.0,4,0.0,0.0,3.729419469833374,127571987529728.0,-148.3571852722456,0.03617364913225174
inverting_gradients,2.0,4,1.0,0.39233022928237915,0.00036526782787404954,0.09705473482608795,2.830200671746858,0.7491397261619568
dlg,2.0,5,0.0,4.061383607895097e-12,0.35119712352752686,28463440330752.0,-141.90240957676494,-0.0316767655313015
idlg,2.0,5,0.0,5.789762929069714e-14,0.5642825961112976,99435929600.0,-117.33496904468032,-0.027552595362067223
