alpha,optimizer,seed,frac_active_sp_gt_0.0001,frac_active_sp_gt_0.001,frac_active_sp_gt_0.01,frac_active_sp_gt_0.05,frac_active_sp_gt_0.1
16.0,momentum,7,0.4853515625,0.4853515625,0.4853515625,0.4853515625,0.4853515625
16.0,nesterov,0,0.459716796875,0.459716796875,0.459716796875,0.459716796875,0.459716796875
16.0,nesterov,1,0.453857421875,0.453857421875,0.453857421875,0.453857421875,0.453857421875
16.0,nesterov,2,0.461669921875,0.461669921875,0.461669921875,0.461669921875,0.461669921875
16.0,nesterov,3,0.461181640625,0.461181640625,0.461181640625,0.461181640625,0.461181640625
16.0,nesterov,4,0.460693359375,0.460693359375,0.460693359375,0.460693359375,0.460693359375
16.0,nesterov,5,0.466552734375,0.466552734375,0.466552734375,0.466552734375,0.466552734375
16.0,nesterov,6,0.46435546875,0.46435546875,0.46435546875,0.46435546875,0.46435546875
16.0,nesterov,7,0.453125,0.453125,0.453125,0.453125,0.453125
16.0,adam,0,0.619384765625,0.619384765625,0.619384765625,0.619384765625,0.619384765625
16.0,adam,1,0.64111328125,0.64111328125,0.64111328125,0.64111328125,0.64111328125
16.0,adam,2,0.638671875,0.638671875,0.638671875,0.638671875,0.638671875
16.0,adam,3,0.6162109375,0.6162109375,0.6162109375,0.6162109375,0.6162109375
16.0,adam,4,0.626220703125,0.626220703125,0.626220703125,0.626220703125,0.626220703125
16.0,adam,5,0.61962890625,0.61962890625,0.61962890625,0.61962890625,0.61962890625
16.0,adam,6,0.63330078125,0.63330078125,0.63330078125,0.63330078125,0.63330078125
16.0,adam,7,0.6162109375,0.6162109375,0.6162109375,0.6162109375,0.6162109375
16.0,lbfgsb,0,0.558837890625,0.558837890625,0.558837890625,0.558837890625,0.558837890625
16.0,lbfgsb,1,0.52685546875,0.52685546875,0.52685546875,0.52685546875,0.52685546875
16.0,lbfgsb,2,0.492431640625,0.492431640625,0.492431640625,0.492431640625,0.492431640625
16.0,lbfgsb,3,0.568115234375,0.568115234375,0.568115234375,0.568115234375,0.568115234375
16.0,lbfgsb,4,0.5517578125,0.5517578125,0.5517578125,0.5517578125,0.5517578125
16.0,lbfgsb,5,0.561279296875,0.561279296875,0.561279296875,0.561279296875,0.561279296875
16.0,lbfgsb,6,0.5439453125,0.5439453125,0.5439453125,0.5439453125,0.5439453125
16.0,lbfgsb,7,0.504150390625,0.504150390625,0.504150390625,0.504150390625,0.504150390625
20.0,pgd,0,0.26904296875,0.26904296875,0.26904296875,0.26904296875,0.26904296875
20.0,pgd,1,0.263671875,0.263671875,0.263671875,0.263671875,0.263671875
20.0,pgd,2,0.280517578125,0.280517578125,0.280517578125,0.280517578125,0.280517578125
20.0,pgd,3,0.267822265625,0.267822265625,0.267822265625,0.267822265625,0.267822265625
20.0,pgd,4,0.267578125,0.267578125,0.267578125,0.267578125,0.267578125
20.0,pgd,5,0.273681640625,0.273681640625,0.273681640625,0.273681640625,0.273681640625
20.0,pgd,6,0.266845703125,0.266845703125,0.266845703125,0.266845703125,0.266845703125
20.0,pgd,7,0.2685546875,0.2685546875,0.2685546875,0.2685546875,0.2685546875
20.0,momentum,0,0.31396484375,0.31396484375,0.31396484375,0.31396484375,0.31396484375
20.0,momentum,1,0.309814453125,0.309814453125,0.309814453125,0.309814453125,0.309814453125
20.0,momentum,2,0.345458984375,0.345458984375,0.345458984375,0.345458984375,0.345458984375
20.0,momentum,3,0.325439453125,0.325439453125,0.325439453125,0.325439453125,0.325439453125
20.0,momentum,4,0.32666015625,0.32666015625,0.32666015625,0.32666015625,0.32666015625
20.0,momentum,5,0.342529296875,0.342529296875,0.342529296875,0.342529296875,0.342529296875
20.0,momentum,6,0.321533203125,0.321533203125,0.321533203125,0.321533203125,0.321533203125
20.0,momentum,7,0.339599609375,0.339599609375,0.339599609375,0.339599609375,0.339599609375
20.0,nesterov,0,0.28173828125,0.28173828125,0.28173828125,0.28173828125,0.28173828125
20.0,nesterov,1,0.27294921875,0.27294921875,0.27294921875,0.27294921875,0.27294921875
20.0,nesterov,2,0.270751953125,0.270751953125,0.270751953125,0.270751953125,0.270751953125
20.0,nesterov,3,0.27001953125,0.27001953125,0.27001953125,0.27001953125,0.27001953125
20.0,nesterov,4,0.283203125,0.283203125,0.283203125,0.283203125,0.283203125
20.0,nesterov,5,0.28076171875,0.28076171875,0.28076171875,0.28076171875,0.28076171875
20.0,nesterov,6,0.2822265625,0.2822265625,0.2822265625,0.2822265625,0.2822265625
