activation,seed,epoch,test_acc,mean_mu,median_mu,mean_sigma,frac_mu_negative,mean_standardized_mu
silu,0,0,0.4309,0.022223807871341705,-0.0009079147130250931,0.9050171375274658,0.5555840163934426,0.016760876402258873
silu,0,6,0.7887,-0.037606656551361084,-0.023084748536348343,0.4484039545059204,0.8465676229508197,-0.07970257848501205
silu,0,12,0.85,-0.0446927547454834,-0.014261285774409771,0.34998026490211487,0.7120901639344263,-0.10486956685781479
silu,0,18,0.8959,-0.043692223727703094,-0.009246986359357834,0.31803974509239197,0.6442110655737705,-0.11149019747972488
silu,0,24,0.9219,-0.04164678230881691,-0.008019248023629189,0.3098345398902893,0.6357581967213115,-0.11014384031295776
silu,1,0,0.4667,0.028714748099446297,-0.00016252091154456139,0.9220731258392334,0.5110143442622951,0.024264974519610405
silu,1,6,0.7954,-0.0379575751721859,-0.02345757558941841,0.4491766393184662,0.8573258196721312,-0.08237302303314209
silu,1,12,0.8459,-0.04419668763875961,-0.01485772430896759,0.3483802378177643,0.7215676229508197,-0.10806063562631607
silu,1,18,0.8915,-0.04264990612864494,-0.008332695811986923,0.3179519474506378,0.6498463114754098,-0.10808748006820679
silu,1,24,0.9171,-0.04063454270362854,-0.007370102219283581,0.3094131052494049,0.6360143442622951,-0.10838580876588821
silu,2,0,0.4506,0.02711162157356739,-9.682215750217438e-05,0.9104567170143127,0.5074282786885246,0.02280661277472973
silu,2,6,0.785,-0.036872368305921555,-0.026133395731449127,0.4470985233783722,0.8611680327868853,-0.08032312244176865
silu,2,12,0.8464,-0.0456233024597168,-0.01922464743256569,0.3486984372138977,0.7497438524590164,-0.11081612855195999
silu,2,18,0.8889,-0.044038090854883194,-0.012146679684519768,0.3186182677745819,0.6728995901639344,-0.11101650446653366
silu,2,24,0.9181,-0.04169803485274315,-0.010473727248609066,0.3104938566684723,0.6593237704918032,-0.1105075404047966
mish,0,0,0.4632,0.02142648957669735,-0.0024787774309515953,0.915368378162384,0.5986168032786885,0.013155673630535603
mish,0,6,0.7833,-0.05934296175837517,-0.03820442408323288,0.4413607120513916,0.9113729508196722,-0.12323293834924698
mish,0,12,0.8446,-0.07076191157102585,-0.03171355277299881,0.34229525923728943,0.819672131147541,-0.17407427728176117
mish,0,18,0.8965,-0.06867290288209915,-0.023103252053260803,0.3112908899784088,0.7420594262295082,-0.18345707654953003
mish,0,24,0.9234,-0.0659259557723999,-0.020014183595776558,0.3038986623287201,0.7256659836065574,-0.18407030403614044
mish,1,0,0.4533,0.013642916455864906,-0.004615185782313347,0.9022989869117737,0.6618852459016393,0.0010612558107823133
mish,1,6,0.7969,-0.06578999757766724,-0.04493037611246109,0.44054409861564636,0.9213627049180327,-0.1359120011329651
mish,1,12,0.8529,-0.07583794742822647,-0.03324368596076965,0.33934545516967773,0.8381147540983607,-0.18835671246051788
mish,1,18,0.8897,-0.07273457199335098,-0.02049180492758751,0.30985552072525024,0.7622950819672131,-0.19556452333927155
mish,1,24,0.9219,-0.06936060637235641,-0.017107170075178146,0.30227038264274597,0.7430840163934426,-0.1936541497707367
mish,2,0,0.4418,0.007737173233181238,-0.004213102161884308,0.8767556548118591,0.6311475409836066,-0.013041754253208637
mish,2,6,0.7721,-0.052536848932504654,-0.03343240171670914,0.42405638098716736,0.889344262295082,-0.1230967789888382
mish,2,12,0.8293,-0.0668008103966713,-0.029592327773571014,0.3250529170036316,0.7999487704918032,-0.17993415892124176
