alpha,seed,kernel_name,curv_mean,curv_std,curv_min,curv_max,curv_frac_negative,curv_range,loss_final,output_iou_final
16.0,0,sobel_x,100.22666481989499,12.41576486821176,72.09386242124083,135.92204187418133,0.0,63.8281794529405,25.230903237729084,0.9527410207939508
16.0,1,sobel_x,73.74647934881295,9.1511083676379,56.02068735299781,95.75972613617978,0.0,39.73903878318197,64.5405076083145,0.8826714801444043
16.0,2,sobel_x,90.486133879845,23.47067673203388,54.09335520312197,152.4276470306063,0.0,98.33429182748432,29.007378264460993,0.9452830188679245
16.0,3,sobel_x,93.76822967646822,13.392631380019846,72.46241347758087,120.64357892072053,0.0,48.18116544313966,22.305932799467897,0.9580952380952381
16.0,4,sobel_x,123.09110508113008,37.951205194411834,43.16121788505711,245.82019997154703,0.0,202.6589820864899,18.332807442509697,0.9653179190751445
16.0,5,sobel_x,109.00997324287212,26.636749682434886,57.80730500504205,180.7286629755822,0.0,122.92135797054016,34.025137787182494,0.9362101313320825
16.0,6,sobel_x,63.31284674807591,7.2797493666045,43.27265123293955,78.84012784131755,0.0,35.567476608378,54.21167053404427,0.8992537313432836
16.0,7,sobel_x,153.7406270537408,23.808019827466133,111.92497329659545,231.81275996364548,0.0,119.88778666705002,36.04478678831433,0.9311663479923518
20.0,0,sobel_x,258.22277394761767,67.4372056481099,142.21646925705045,529.8629520922304,0.0,387.64648283518,47.1404612312157,0.9131238447319778
20.0,1,sobel_x,107.38777435885065,46.711672554727,41.71117902274091,242.62435238142643,0.0,200.91317335868553,83.45110818882962,0.8533568904593639
20.0,2,sobel_x,159.21976532572066,52.0637541162596,73.04795394702523,268.2459317995267,0.0,195.19797785250148,43.396736854301764,0.9202226345083488
20.0,3,sobel_x,52.82577949768571,8.233332726234284,38.56174064509332,73.16760175513082,0.0,34.605861110037495,58.82119316543471,0.8917431192660551
20.0,4,sobel_x,42.84209705881873,7.8458613061758715,22.637280146398098,58.036129431116024,0.0,35.398849284717926,45.99807903451567,0.914018691588785
20.0,5,sobel_x,59.01952100266783,18.981974818125995,22.58814984656965,111.79122738269598,0.0,89.20307753612633,44.016347119214814,0.9180633147113594
20.0,6,sobel_x,42.95291219496752,12.025195901793497,20.504801170773135,77.79603785706968,0.0,57.29123668629654,67.9044950231924,0.8738404452690167
20.0,7,sobel_x,99.89703707139104,49.535511377665735,19.577041285856467,236.3118714470147,0.0,216.73483016115824,74.73829511512491,0.8636363636363636
25.0,0,sobel_x,53.6405888363826,28.53769664281613,14.448304554548486,143.85002246797285,0.0,129.40171791342436,79.43205006765827,0.8545454545454545
25.0,1,sobel_x,11.700592330517642,18.449337545657176,-27.97228019346676,74.5231015173431,0.21666666666666667,102.49538171080985,119.1893322850749,0.7955326460481099
25.0,2,sobel_x,19.897620932596283,6.033193435804897,10.703851117455088,34.881696763022774,0.0,24.177845645567686,73.03324601208783,0.8670309653916212
25.0,3,sobel_x,86.81460579680333,31.57959235428917,23.673333004126107,166.88152737742712,0.0,143.208194373301,82.9432742026256,0.8509874326750448
25.0,4,sobel_x,40.063528205773004,7.620396786097232,25.611576305095696,59.262644327873204,0.0,33.65106802277751,54.93668024748608,0.8979591836734694
25.0,5,sobel_x,19.993381563191786,35.421035021948136,-46.71341238804416,105.73328384566594,0.2833333333333333,152.4466962337101,67.04148852371728,0.8786231884057971
25.0,6,sobel_x,51.98757215936212,19.151525562278106,12.169010759066623,92.23204254737993,0.0,80.06303178831331,83.09255615907074,0.8477064220183487
25.0,7,sobel_x,14.2409316007767,3.4686158863199483,6.298064903376144,21.32056951609229,0.0,15.022504612716148,110.07527721856437,0.8063380281690141
30.0,0,sobel_x,6.022933557166728,1.03604734580626,3.4933915884494127,8.888161104891878,0.0,5.394769516442466,100.01099674316484,0.8220640569395018
30.0,1,sobel_x,-12.27531833360255,93.33468006338077,-244.85169566901277,188.19101777012293,0.4666666666666667,433.0427134391357,121.30067475877073,0.7920962199312714
30.0,2,sobel_x,42.74766080195983,26.33024677126163,10.263168420010516,120.01303133502006,0.0,109.74986291500954,78.05165878709559,0.8586956521739131
30.0,3,sobel_x,4.5791942026104,0.6493182383927615,2.5582857858807984,5.807055131867855,0.0,3.248769345987057,115.8387526285101,0.7968476357267951
30.0,4,sobel_x,148.8729194029759,86.91442713614533,26.680741910922734,385.2312312488948,0.0,358.55048933797207,87.48279921254334,0.8405797101449275
30.0,5,sobel_x,8.121400771917328,5.773863855708991,-5.263154505996681,23.298755294831608,0.1,28.56190980082829,70.01155230439605,0.8736462093862816
30.0,6,sobel_x,7.782029511342141,1.6041107714503473,5.160106624657601,12.944423488647772,0.0,7.7843168639901705,96.27794848674345,0.8273381294964028
30.0,7,sobel_x,74.58352463108515,55.916063320794485,9.4456797512521,254.08312063746052,0.0,244.63744088620842,119.81929688702967,0.7913043478260869
40.0,0,sobel_x,4.483788828698228,0.9791024358398562,2.4029422718285787,6.917808576645257,0.0,4.514866304816678,129.9995947962923,0.7754749568221071
40.0,1,sobel_x,5.130798482847847,2.6073855253719365,-0.27732647822631407,12.408038458033843,0.05,12.685364936260157,150.10863645050517,0.7512437810945274
40.0,2,sobel_x,6.173681351147782,2.2188755295024216,0.5973371344225598,13.378550193010597,0.0,12.781213058588037,117.00424877115111,0.7906976744186046
40.0,3,sobel_x,32.7449022345642,18.579007932002295,-3.4848285395128187,86.2971688206926,0.016666666666666666,89.78199736020542,134.07401201337882,0.7661431064572426
40.0,4,sobel_x,1.8612827010618578,1.1206858675550468,-0.6079105361322945,4.271395653177024,0.1,4.879306189309318,111.46286661792136,0.800711743772242
40.0,5,sobel_x,66.6369833001094,24.42657641642201,19.636102138065326,119.10146591276316,0.0,99.46536377469783,92.05391978744788,0.8365896980461812
40.0,6,sobel_x,72.48640180084938,34.63733596393151,5.238693717046772,185.62029870849983,0.0,180.38160499145306,108.36356829781943,0.8067375886524822
40.0,7,sobel_x,6.624158170135767,3.350219424409698,1.9401196595936199,16.76771307757008,0.0,14.827593417976459,135.99574593471186,0.7675213675213676
60.0,0,sobel_x,0.9258725081432809,0.6581377995903773,-1.0150076832360355,2.3380746654311224,0.05,3.353082348667158,146.00079447386372,0.7491408934707904
60.0,1,sobel_x,1.6813816638242922,0.6711725815553196,0.7063947862206987,3.8424115587076813,0.0,3.1360167724869825,172.00013458095046,0.7175697865353038
60.0,2,sobel_x,0.4224236586007161,0.12939863295420861,0.08147227958943404,0.7026942228094413,0.0,0.6212219432200072,158.0006207925236,0.7271157167530224
60.0,3,sobel_x,226.1907830629184,147.91503082539109,13.626670835265031,644.718174442005,0.0,631.0915036067399,169.1323147626691,0.7130730050933786
60.0,4,sobel_x,4.56669457425581,1.8811097572845725,1.7838879102782812,10.343241967802896,0.0,8.559354057524615,143.00044693743638,0.7513043478260869
60.0,5,sobel_x,0.710244347127779,0.28366003597870104,-0.1845411929934926,1.2962069035893364,0.016666666666666666,1.480748096582829,163.9828588846367,0.725752508361204
60.0,6,sobel_x,-3.079985982878952,13.838738383471243,-39.42897453157457,30.449634351725763,0.5833333333333334,69.87860888330033,153.00850455446954,0.7402376910016978
60.0,7,sobel_x,28.98167449908821,8.679627361851018,11.726546745194355,58.7364875741514,0.0,47.00994082895704,161.89471934667714,0.7281879194630873
