layer,mean_abs_gamma,mean_abs_beta,activation,optimizer,seed,epoch
stages.6.bn2,1.0263123512268066,0.08345215022563934,relu,adamw,2,24
stages.6.shortcut.1,0.9823871850967407,0.08345215022563934,relu,adamw,2,24
stages.7.bn1,0.9691566228866577,0.09909984469413757,relu,adamw,2,24
stages.7.bn2,0.9398704767227173,0.0829039141535759,relu,adamw,2,24
stem_bn,1.0081291198730469,0.030569996684789658,gelu,adamw,0,0
stages.0.bn1,1.009047031402588,0.02461664006114006,gelu,adamw,0,0
stages.0.bn2,1.0019052028656006,0.018933383747935295,gelu,adamw,0,0
stages.1.bn1,1.0077247619628906,0.023014584556221962,gelu,adamw,0,0
stages.1.bn2,0.9899475574493408,0.018827907741069794,gelu,adamw,0,0
stages.2.bn1,1.0038410425186157,0.01660548709332943,gelu,adamw,0,0
stages.2.bn2,0.9948058724403381,0.014126306399703026,gelu,adamw,0,0
stages.2.shortcut.1,1.020613431930542,0.014126306399703026,gelu,adamw,0,0
stages.3.bn1,1.0010795593261719,0.016129299998283386,gelu,adamw,0,0
stages.3.bn2,0.9799531698226929,0.014171214774250984,gelu,adamw,0,0
stages.4.bn1,1.0000481605529785,0.013361882418394089,gelu,adamw,0,0
stages.4.bn2,0.9991332292556763,0.012768890708684921,gelu,adamw,0,0
stages.4.shortcut.1,1.0220556259155273,0.012768890708684921,gelu,adamw,0,0
stages.5.bn1,1.001508116722107,0.014051214791834354,gelu,adamw,0,0
stages.5.bn2,0.9763741493225098,0.013867543078958988,gelu,adamw,0,0
stages.6.bn1,1.0007586479187012,0.011988065205514431,gelu,adamw,0,0
stages.6.bn2,0.9842125177383423,0.013228890486061573,gelu,adamw,0,0
stages.6.shortcut.1,0.9975999593734741,0.013228890486061573,gelu,adamw,0,0
stages.7.bn1,0.9984031319618225,0.012813031673431396,gelu,adamw,0,0
stages.7.bn2,0.9844456911087036,0.014756394550204277,gelu,adamw,0,0
stem_bn,0.9921059012413025,0.10852883756160736,gelu,adamw,0,6
stages.0.bn1,1.0374970436096191,0.1001114770770073,gelu,adamw,0,6
stages.0.bn2,1.0255346298217773,0.08961974829435349,gelu,adamw,0,6
stages.1.bn1,1.041210412979126,0.17122682929039001,gelu,adamw,0,6
stages.1.bn2,0.9966175556182861,0.09859678149223328,gelu,adamw,0,6
stages.2.bn1,1.0167312622070312,0.12899433076381683,gelu,adamw,0,6
stages.2.bn2,1.0064702033996582,0.10130760073661804,gelu,adamw,0,6
stages.2.shortcut.1,0.9973701238632202,0.10130760073661804,gelu,adamw,0,6
stages.3.bn1,1.0099369287490845,0.16764891147613525,gelu,adamw,0,6
stages.3.bn2,0.9586143493652344,0.13513126969337463,gelu,adamw,0,6
stages.4.bn1,1.0088626146316528,0.15139615535736084,gelu,adamw,0,6
stages.4.bn2,1.0278315544128418,0.09268436580896378,gelu,adamw,0,6
stages.4.shortcut.1,1.0061672925949097,0.09268436580896378,gelu,adamw,0,6
stages.5.bn1,1.0099599361419678,0.15466877818107605,gelu,adamw,0,6
stages.5.bn2,0.9273520708084106,0.12384943664073944,gelu,adamw,0,6
stages.6.bn1,1.0004552602767944,0.1065930724143982,gelu,adamw,0,6
stages.6.bn2,0.9801696538925171,0.05874737352132797,gelu,adamw,0,6
stages.6.shortcut.1,0.9956545829772949,0.05874737352132797,gelu,adamw,0,6
stages.7.bn1,0.9971446990966797,0.07202240079641342,gelu,adamw,0,6
stages.7.bn2,0.9443649053573608,0.06307841837406158,gelu,adamw,0,6
stem_bn,0.982390284538269,0.13430067896842957,gelu,adamw,0,12
stages.0.bn1,1.044358491897583,0.13571485877037048,gelu,adamw,0,12
stages.0.bn2,1.0357334613800049,0.11298839747905731,gelu,adamw,0,12
stages.1.bn1,1.0507781505584717,0.2264866977930069,gelu,adamw,0,12
stages.1.bn2,1.0002641677856445,0.1267700493335724,gelu,adamw,0,12
stages.2.bn1,1.0201297998428345,0.17994843423366547,gelu,adamw,0,12
stages.2.bn2,1.0120391845703125,0.14489662647247314,gelu,adamw,0,12
stages.2.shortcut.1,0.9700920581817627,0.14489662647247314,gelu,adamw,0,12
stages.3.bn1,1.0134449005126953,0.23918454349040985,gelu,adamw,0,12
stages.3.bn2,0.9654821157455444,0.18413566052913666,gelu,adamw,0,12
stages.4.bn1,1.0108177661895752,0.21892809867858887,gelu,adamw,0,12
stages.4.bn2,1.0347234010696411,0.15495622158050537,gelu,adamw,0,12
stages.4.shortcut.1,0.9683036804199219,0.15495622158050537,gelu,adamw,0,12
stages.5.bn1,1.0046495199203491,0.2521422207355499,gelu,adamw,0,12
stages.5.bn2,0.9347902536392212,0.17942708730697632,gelu,adamw,0,12
stages.6.bn1,0.9993582367897034,0.17148980498313904,gelu,adamw,0,12
stages.6.bn2,0.9975665211677551,0.07695421576499939,gelu,adamw,0,12
stages.6.shortcut.1,0.9921023845672607,0.07695421576499939,gelu,adamw,0,12
stages.7.bn1,0.9910684823989868,0.10377726703882217,gelu,adamw,0,12
