layer,mean_abs_gamma,mean_abs_beta,activation,optimizer,seed,epoch
stages.2.bn1,0.9805523157119751,0.1754782795906067,relu,adamw,0,12
stages.2.bn2,1.0021113157272339,0.15384811162948608,relu,adamw,0,12
stages.2.shortcut.1,0.9860098361968994,0.15384811162948608,relu,adamw,0,12
stages.3.bn1,0.9715319275856018,0.23486728966236115,relu,adamw,0,12
stages.3.bn2,0.9655014276504517,0.19469718635082245,relu,adamw,0,12
stages.4.bn1,0.9821754097938538,0.21342584490776062,relu,adamw,0,12
stages.4.bn2,1.0483901500701904,0.1695968210697174,relu,adamw,0,12
stages.4.shortcut.1,0.9750882983207703,0.1695968210697174,relu,adamw,0,12
stages.5.bn1,0.9787579774856567,0.2266916036605835,relu,adamw,0,12
stages.5.bn2,0.930679202079773,0.1902950257062912,relu,adamw,0,12
stages.6.bn1,0.9798880219459534,0.18984192609786987,relu,adamw,0,12
stages.6.bn2,1.0117703676223755,0.08217976987361908,relu,adamw,0,12
stages.6.shortcut.1,0.9855117797851562,0.08217976987361908,relu,adamw,0,12
stages.7.bn1,0.9760591983795166,0.10377271473407745,relu,adamw,0,12
stages.7.bn2,0.9305409789085388,0.08217526227235794,relu,adamw,0,12
stem_bn,0.9448204636573792,0.146535724401474,relu,adamw,0,18
stages.0.bn1,0.979060709476471,0.14717939496040344,relu,adamw,0,18
stages.0.bn2,1.0292949676513672,0.11124198138713837,relu,adamw,0,18
stages.1.bn1,0.9642258882522583,0.22958537936210632,relu,adamw,0,18
stages.1.bn2,0.9900180101394653,0.10121729969978333,relu,adamw,0,18
stages.2.bn1,0.9785823822021484,0.1899833381175995,relu,adamw,0,18
stages.2.bn2,1.0044150352478027,0.1665513962507248,relu,adamw,0,18
stages.2.shortcut.1,0.9744226932525635,0.1665513962507248,relu,adamw,0,18
stages.3.bn1,0.9681258201599121,0.2531587779521942,relu,adamw,0,18
stages.3.bn2,0.9699242115020752,0.2070576250553131,relu,adamw,0,18
stages.4.bn1,0.9793676137924194,0.2319067120552063,relu,adamw,0,18
stages.4.bn2,1.0512348413467407,0.18797464668750763,relu,adamw,0,18
stages.4.shortcut.1,0.959686279296875,0.18797464668750763,relu,adamw,0,18
stages.5.bn1,0.9723924398422241,0.2531452775001526,relu,adamw,0,18
stages.5.bn2,0.9357287287712097,0.2044200897216797,relu,adamw,0,18
stages.6.bn1,0.9758998155593872,0.2085336446762085,relu,adamw,0,18
stages.6.bn2,1.0270919799804688,0.0840936154127121,relu,adamw,0,18
stages.6.shortcut.1,0.9861142039299011,0.0840936154127121,relu,adamw,0,18
stages.7.bn1,0.968008816242218,0.11518924683332443,relu,adamw,0,18
stages.7.bn2,0.9369657039642334,0.08112350851297379,relu,adamw,0,18
stem_bn,0.9443854093551636,0.14644894003868103,relu,adamw,0,24
stages.0.bn1,0.9789488911628723,0.1475404053926468,relu,adamw,0,24
stages.0.bn2,1.0293340682983398,0.11212275177240372,relu,adamw,0,24
stages.1.bn1,0.9641483426094055,0.22999563813209534,relu,adamw,0,24
stages.1.bn2,0.9904032945632935,0.1017950251698494,relu,adamw,0,24
stages.2.bn1,0.9784243106842041,0.19101069867610931,relu,adamw,0,24
stages.2.bn2,1.0048363208770752,0.16762444376945496,relu,adamw,0,24
stages.2.shortcut.1,0.9724851846694946,0.16762444376945496,relu,adamw,0,24
stages.3.bn1,0.9678793549537659,0.254520982503891,relu,adamw,0,24
stages.3.bn2,0.9710856676101685,0.20750583708286285,relu,adamw,0,24
stages.4.bn1,0.9791603088378906,0.23346856236457825,relu,adamw,0,24
stages.4.bn2,1.051544427871704,0.18990430235862732,relu,adamw,0,24
stages.4.shortcut.1,0.9568376541137695,0.18990430235862732,relu,adamw,0,24
stages.5.bn1,0.971739649772644,0.2562299370765686,relu,adamw,0,24
stages.5.bn2,0.9379026293754578,0.20523867011070251,relu,adamw,0,24
stages.6.bn1,0.975603461265564,0.210203617811203,relu,adamw,0,24
stages.6.bn2,1.0312844514846802,0.08293232321739197,relu,adamw,0,24
stages.6.shortcut.1,0.9864924550056458,0.08293232321739197,relu,adamw,0,24
stages.7.bn1,0.9664860367774963,0.11640480160713196,relu,adamw,0,24
stages.7.bn2,0.9430997967720032,0.07866848260164261,relu,adamw,0,24
stem_bn,1.0026029348373413,0.03444769233465195,relu,adamw,1,0
stages.0.bn1,0.998616099357605,0.020560991019010544,relu,adamw,1,0
stages.0.bn2,0.9992188811302185,0.014710518531501293,relu,adamw,1,0
stages.1.bn1,1.000137448310852,0.023960798978805542,relu,adamw,1,0
stages.1.bn2,0.9917033910751343,0.01766050234436989,relu,adamw,1,0
stages.2.bn1,1.0004048347473145,0.015246164053678513,relu,adamw,1,0
stages.2.bn2,0.9982318878173828,0.012804723344743252,relu,adamw,1,0
stages.2.shortcut.1,1.012728214263916,0.012804723344743252,relu,adamw,1,0
stages.3.bn1,0.999469518661499,0.01691523753106594,relu,adamw,1,0
stages.3.bn2,0.9853664636611938,0.016289327293634415,relu,adamw,1,0
stages.4.bn1,0.9999957084655762,0.014718610793352127,relu,adamw,1,0
stages.4.bn2,1.0055869817733765,0.012066829949617386,relu,adamw,1,0
stages.4.shortcut.1,1.0145974159240723,0.012066829949617386,relu,adamw,1,0
stages.5.bn1,1.0010098218917847,0.01454862393438816,relu,adamw,1,0
stages.5.bn2,0.9784196019172668,0.018231801688671112,relu,adamw,1,0
stages.6.bn1,0.9999386072158813,0.011162927374243736,relu,adamw,1,0
stages.6.bn2,0.9881678223609924,0.014372184872627258,relu,adamw,1,0
stages.6.shortcut.1,0.9943094253540039,0.014372184872627258,relu,adamw,1,0
stages.7.bn1,0.999373197555542,0.010464934632182121,relu,adamw,1,0
stages.7.bn2,0.9834026098251343,0.015161982737481594,relu,adamw,1,0
stem_bn,0.9734526872634888,0.11278952658176422,relu,adamw,1,6
stages.0.bn1,0.9950565695762634,0.09868821501731873,relu,adamw,1,6
stages.0.bn2,1.014873743057251,0.07399264723062515,relu,adamw,1,6
stages.1.bn1,0.9814947843551636,0.1595650315284729,relu,adamw,1,6
stages.1.bn2,0.9886599779129028,0.0872674509882927,relu,adamw,1,6
