layer,mean_abs_gamma,mean_abs_beta,activation,seed,epoch
stages.0.bn2,0.48746487498283386,0.10763628780841827,gelu,0,18
stages.1.bn1,0.32194122672080994,0.19735944271087646,gelu,0,18
stages.1.bn2,0.3031712472438812,0.09857974946498871,gelu,0,18
stages.2.bn1,0.2840012311935425,0.09027306735515594,gelu,0,18
stages.2.bn2,0.3707848787307739,0.09631867706775665,gelu,0,18
stages.2.shortcut.1,0.2268921136856079,0.09631867706775665,gelu,0,18
stages.3.bn1,0.2150818258523941,0.12195596098899841,gelu,0,18
stages.3.bn2,0.18099020421504974,0.10962160676717758,gelu,0,18
stages.4.bn1,0.2589820623397827,0.0739106833934784,gelu,0,18
stages.4.bn2,0.3235898017883301,0.10370242595672607,gelu,0,18
stages.4.shortcut.1,0.16015386581420898,0.10370242595672607,gelu,0,18
stages.5.bn1,0.1722182184457779,0.04852154850959778,gelu,0,18
stages.5.bn2,0.161784827709198,0.1080406904220581,gelu,0,18
stages.6.bn1,0.15638911724090576,0.019726604223251343,gelu,0,18
stages.6.bn2,0.25687283277511597,0.020887697115540504,gelu,0,18
stages.6.shortcut.1,0.20058618485927582,0.020887697115540504,gelu,0,18
stages.7.bn1,0.1256086528301239,0.015601027756929398,gelu,0,18
stages.7.bn2,0.23037876188755035,0.01737208664417267,gelu,0,18
stem_bn,0.30506980419158936,0.14065179228782654,gelu,0,24
stages.0.bn1,0.37130051851272583,0.1972954273223877,gelu,0,24
stages.0.bn2,0.4720074534416199,0.10217174887657166,gelu,0,24
stages.1.bn1,0.312389075756073,0.19325771927833557,gelu,0,24
stages.1.bn2,0.30058085918426514,0.09546217322349548,gelu,0,24
stages.2.bn1,0.2757391631603241,0.08871317654848099,gelu,0,24
stages.2.bn2,0.3608667850494385,0.09604565054178238,gelu,0,24
stages.2.shortcut.1,0.2131674438714981,0.09604565054178238,gelu,0,24
stages.3.bn1,0.2082405984401703,0.12014289945363998,gelu,0,24
stages.3.bn2,0.18022561073303223,0.10680457949638367,gelu,0,24
stages.4.bn1,0.2508629262447357,0.0731341689825058,gelu,0,24
stages.4.bn2,0.31565409898757935,0.10486166179180145,gelu,0,24
stages.4.shortcut.1,0.14976148307323456,0.10486166179180145,gelu,0,24
stages.5.bn1,0.16677390038967133,0.04859694093465805,gelu,0,24
stages.5.bn2,0.1627795696258545,0.10706378519535065,gelu,0,24
stages.6.bn1,0.1497448831796646,0.019407328218221664,gelu,0,24
stages.6.bn2,0.2561259865760803,0.020934291183948517,gelu,0,24
