arch,seed,layer_idx,n_layers,layer_name,active_frac,gate_mean,grad_norm,grad_sparsity,grad_entropy,effective_rank,stable_rank
resnet18,6,3,9,layer2.0.relu,0.4999847412109375,0.4999847412109375,0.40013977885246277,0.0530242919921875,10.767416000366211,7.474142074584961,2.169966459274292
resnet18,6,4,9,layer2.1.relu,0.4990997314453125,0.4990997314453125,0.30098915100097656,0.0499420166015625,10.769237518310547,7.181102752685547,1.7856156826019287
resnet18,6,5,9,layer3.0.relu,0.496734619140625,0.496734619140625,0.24071428179740906,0.04498291015625,10.096464157104492,7.438353538513184,2.1036953926086426
resnet18,6,6,9,layer3.1.relu,0.50201416015625,0.50201416015625,0.19209115207195282,0.045440673828125,10.093995094299316,7.17636251449585,1.7774606943130493
resnet18,6,7,9,layer4.0.relu,0.4993896484375,0.4993896484375,0.15285353362560272,0.0367431640625,9.416150093078613,7.40078067779541,2.041719675064087
resnet18,6,8,9,layer4.1.relu,0.49798583984375,0.49798583984375,0.12505050003528595,0.037841796875,9.414981842041016,7.102180004119873,1.7268084287643433
resnet18,7,0,9,relu,0.9934757947921753,0.9934757947921753,0.7525832056999207,0.8503475189208984,,7.622879505157471,2.4895012378692627
resnet18,7,1,9,layer1.0.relu,0.500701904296875,0.500701904296875,0.64451003074646,0.05675506591796875,11.438304901123047,6.287943363189697,1.3209071159362793
resnet18,7,2,9,layer1.1.relu,0.49980926513671875,0.49980926513671875,0.4450346529483795,0.061187744140625,11.439781188964844,6.556922435760498,1.4062916040420532
resnet18,7,3,9,layer2.0.relu,0.501373291015625,0.501373291015625,0.40678197145462036,0.0504150390625,10.769508361816406,7.385415554046631,2.019639253616333
resnet18,7,4,9,layer2.1.relu,0.50091552734375,0.50091552734375,0.30976128578186035,0.046539306640625,10.767621994018555,7.259082794189453,1.855718970298767
resnet18,7,5,9,layer3.0.relu,0.499359130859375,0.499359130859375,0.24387036263942719,0.037567138671875,10.0972261428833,7.398702621459961,2.0440926551818848
resnet18,7,6,9,layer3.1.relu,0.49896240234375,0.49896240234375,0.19653105735778809,0.0445556640625,10.095195770263672,7.148629665374756,1.7588468790054321
resnet18,7,7,9,layer4.0.relu,0.5030517578125,0.5030517578125,0.15818612277507782,0.03118896484375,9.417543411254883,7.441869258880615,2.1080613136291504
resnet18,7,8,9,layer4.1.relu,0.49957275390625,0.49957275390625,0.12587445974349976,0.02899169921875,9.419636726379395,7.191547393798828,1.79807448387146
resnet18,8,0,9,relu,0.9944838285446167,0.9944838285446167,0.7565475106239319,0.8525714874267578,,7.5980353355407715,2.427546501159668
resnet18,8,1,9,layer1.0.relu,0.49359130859375,0.49359130859375,0.6588519215583801,0.0792388916015625,11.435708999633789,6.255771160125732,1.311169147491455
resnet18,8,2,9,layer1.1.relu,0.5007781982421875,0.5007781982421875,0.45498329401016235,0.0578460693359375,11.439606666564941,6.4876203536987305,1.3826881647109985
resnet18,8,3,9,layer2.0.relu,0.4988861083984375,0.4988861083984375,0.40285375714302063,0.0519561767578125,10.770408630371094,7.397556304931641,2.0541036128997803
resnet18,8,4,9,layer2.1.relu,0.4996795654296875,0.4996795654296875,0.31123512983322144,0.0547637939453125,10.767467498779297,7.209150314331055,1.8056657314300537
resnet18,8,5,9,layer3.0.relu,0.49945068359375,0.49945068359375,0.24906396865844727,0.04400634765625,10.096860885620117,7.387087821960449,2.029352903366089
resnet18,8,6,9,layer3.1.relu,0.500030517578125,0.500030517578125,0.19534753262996674,0.046295166015625,10.094923973083496,7.123036861419678,1.7336310148239136
resnet18,8,7,9,layer4.0.relu,0.496337890625,0.496337890625,0.15804490447044373,0.0308837890625,9.419836044311523,7.409974098205566,2.0544865131378174
resnet18,8,8,9,layer4.1.relu,0.498046875,0.498046875,0.12883822619915009,0.0380859375,9.417591094970703,7.149416923522949,1.760813593864441
resnet18,9,0,9,relu,0.9939406514167786,0.9939406514167786,0.7045445442199707,0.8499813079833984,,7.579624176025391,2.3799736499786377
resnet18,9,1,9,layer1.0.relu,0.49591064453125,0.49591064453125,0.6236131191253662,0.06029510498046875,11.43688678741455,6.2656989097595215,1.3149653673171997
resnet18,9,2,9,layer1.1.relu,0.49967193603515625,0.49967193603515625,0.42599916458129883,0.05554962158203125,11.437925338745117,6.521649360656738,1.3985036611557007
resnet18,9,3,9,layer2.0.relu,0.5004730224609375,0.5004730224609375,0.39250287413597107,0.047149658203125,10.76730728149414,7.4138569831848145,2.071511745452881
