Job ID: 11081162  Node: gilbreth-i003  Start: Sun Jun 21 14:50:18 EDT 2026
extraction_done.marker present, skipping extraction
Extraction step complete at Sun Jun 21 14:50:18 EDT 2026
[cache] train: 5000 images, 66.8s elapsed
[cache] train: 10000 images, 143.4s elapsed
[cache] train: 15000 images, 218.6s elapsed
[cache] train: 20000 images, 303.0s elapsed
[cache] train: 25000 images, 391.0s elapsed
[cache] train: 30000 images, 467.8s elapsed
[cache] train: 35000 images, 572.2s elapsed
[cache] train: 40000 images, 668.9s elapsed
[cache] train: 45000 images, 756.4s elapsed
[cache] train: 50000 images, 864.7s elapsed
[cache] train: done, 54750 images, shape torch.Size([54750, 3, 144, 144]), 3.41GB, 968.5s total
[cache] wrote /scratch/gilbreth/aelmersa/places365/cache/train_cache.pt
[cache] val: 5000 images, 94.9s elapsed
[cache] val: done, 7300 images, shape torch.Size([7300, 3, 144, 144]), 0.45GB, 143.7s total
[cache] wrote /scratch/gilbreth/aelmersa/places365/cache/val_cache.pt
Cache step complete at Sun Jun 21 15:11:35 EDT 2026
[places-dyn] device=cuda activations=['relu', 'gelu', 'silu', 'mish'] optimizer=sgd lr=0.1 seeds=[0, 1] epochs=25 samples_per_class_train=150 img_size=96 cache_dir=/scratch/gilbreth/aelmersa/places365/cache
[places-dyn] resnet50(gelu,sgd) seed=1 epoch=  7/25 train_acc=0.161 test_acc=0.154 active_frac=0.998 eff_rank=54.68 (180.5s)
[places-dyn] resnet50(gelu,sgd) seed=1 epoch=  8/25 train_acc=0.180 test_acc=0.155 active_frac=0.999 eff_rank=54.98 (180.5s)
[places-dyn] resnet50(gelu,sgd) seed=1 epoch=  9/25 train_acc=0.201 test_acc=0.179 active_frac=0.999 eff_rank=54.91 (180.5s)
[places-dyn] resnet50(gelu,sgd) seed=1 epoch= 10/25 train_acc=0.214 test_acc=0.196 active_frac=0.999 eff_rank=55.68 (180.7s)
[places-dyn] resnet50(gelu,sgd) seed=1 epoch= 11/25 train_acc=0.228 test_acc=0.207 active_frac=0.999 eff_rank=55.49 (194.3s)
[places-dyn] resnet50(gelu,sgd) seed=1 epoch= 12/25 train_acc=0.244 test_acc=0.222 active_frac=0.999 eff_rank=55.82 (180.4s)
[places-dyn] resnet50(gelu,sgd) seed=1 epoch= 13/25 train_acc=0.262 test_acc=0.219 active_frac=0.999 eff_rank=55.81 (180.5s)
[places-dyn] resnet50(gelu,sgd) seed=1 epoch= 14/25 train_acc=0.275 test_acc=0.236 active_frac=0.999 eff_rank=55.64 (181.0s)
[places-dyn] resnet50(gelu,sgd) seed=1 epoch= 15/25 train_acc=0.291 test_acc=0.242 active_frac=0.999 eff_rank=56.06 (180.7s)
[places-dyn] resnet50(gelu,sgd) seed=1 epoch= 16/25 train_acc=0.308 test_acc=0.263 active_frac=0.999 eff_rank=56.08 (180.6s)
[places-dyn] resnet50(gelu,sgd) seed=1 epoch= 17/25 train_acc=0.322 test_acc=0.271 active_frac=0.999 eff_rank=55.97 (180.6s)
[places-dyn] resnet50(gelu,sgd) seed=1 epoch= 18/25 train_acc=0.341 test_acc=0.280 active_frac=0.999 eff_rank=56.07 (180.6s)
[places-dyn] resnet50(gelu,sgd) seed=1 epoch= 19/25 train_acc=0.360 test_acc=0.291 active_frac=0.999 eff_rank=56.16 (180.6s)
[places-dyn] resnet50(gelu,sgd) seed=1 epoch= 20/25 train_acc=0.379 test_acc=0.313 active_frac=0.999 eff_rank=56.11 (180.6s)
[places-dyn] resnet50(gelu,sgd) seed=1 epoch= 21/25 train_acc=0.397 test_acc=0.322 active_frac=0.999 eff_rank=56.22 (190.8s)
[places-dyn] resnet50(gelu,sgd) seed=1 epoch= 22/25 train_acc=0.413 test_acc=0.330 active_frac=0.999 eff_rank=56.24 (180.5s)
[places-dyn] resnet50(gelu,sgd) seed=1 epoch= 23/25 train_acc=0.428 test_acc=0.335 active_frac=0.999 eff_rank=56.24 (180.5s)
[places-dyn] resnet50(gelu,sgd) seed=1 epoch= 24/25 train_acc=0.436 test_acc=0.337 active_frac=0.999 eff_rank=56.16 (180.4s)
[places-dyn] gelu seed=1 done in 75.7 min
[places-dyn] resnet50(silu,sgd) seed=0 epoch=  0/25 train_acc=0.003 test_acc=0.005 active_frac=0.996 eff_rank=26.40 (180.8s)
[places-dyn] resnet50(silu,sgd) seed=0 epoch=  1/25 train_acc=0.010 test_acc=0.017 active_frac=0.997 eff_rank=29.93 (180.3s)
[places-dyn] resnet50(silu,sgd) seed=0 epoch=  2/25 train_acc=0.023 test_acc=0.031 active_frac=0.998 eff_rank=40.87 (181.1s)
[places-dyn] resnet50(silu,sgd) seed=0 epoch=  3/25 train_acc=0.046 test_acc=0.057 active_frac=0.998 eff_rank=49.33 (180.3s)
[places-dyn] resnet50(silu,sgd) seed=0 epoch=  4/25 train_acc=0.072 test_acc=0.076 active_frac=0.999 eff_rank=53.83 (180.4s)
[places-dyn] resnet50(silu,sgd) seed=0 epoch=  5/25 train_acc=0.096 test_acc=0.087 active_frac=0.999 eff_rank=54.16 (180.3s)
[places-dyn] resnet50(silu,sgd) seed=0 epoch=  6/25 train_acc=0.115 test_acc=0.122 active_frac=0.999 eff_rank=55.05 (180.3s)
[places-dyn] resnet50(silu,sgd) seed=0 epoch=  7/25 train_acc=0.133 test_acc=0.132 active_frac=1.000 eff_rank=55.46 (193.7s)
[places-dyn] resnet50(silu,sgd) seed=0 epoch=  8/25 train_acc=0.151 test_acc=0.144 active_frac=1.000 eff_rank=56.05 (180.4s)
[places-dyn] resnet50(silu,sgd) seed=0 epoch=  9/25 train_acc=0.165 test_acc=0.156 active_frac=1.000 eff_rank=56.27 (180.6s)
[places-dyn] resnet50(silu,sgd) seed=0 epoch= 10/25 train_acc=0.183 test_acc=0.152 active_frac=1.000 eff_rank=56.04 (180.5s)
[places-dyn] resnet50(silu,sgd) seed=0 epoch= 11/25 train_acc=0.197 test_acc=0.171 active_frac=1.000 eff_rank=56.24 (180.8s)
[places-dyn] resnet50(silu,sgd) seed=0 epoch= 12/25 train_acc=0.210 test_acc=0.186 active_frac=1.000 eff_rank=56.30 (180.5s)
[places-dyn] resnet50(silu,sgd) seed=0 epoch= 13/25 train_acc=0.224 test_acc=0.202 active_frac=1.000 eff_rank=56.23 (180.5s)
[places-dyn] resnet50(silu,sgd) seed=0 epoch= 14/25 train_acc=0.237 test_acc=0.205 active_frac=1.000 eff_rank=56.43 (180.4s)
[places-dyn] resnet50(silu,sgd) seed=0 epoch= 15/25 train_acc=0.253 test_acc=0.224 active_frac=1.000 eff_rank=56.49 (180.5s)
[places-dyn] resnet50(silu,sgd) seed=0 epoch= 16/25 train_acc=0.267 test_acc=0.236 active_frac=1.000 eff_rank=56.26 (180.6s)
[places-dyn] resnet50(silu,sgd) seed=0 epoch= 17/25 train_acc=0.281 test_acc=0.253 active_frac=1.000 eff_rank=56.43 (180.4s)
[places-dyn] resnet50(silu,sgd) seed=0 epoch= 18/25 train_acc=0.296 test_acc=0.268 active_frac=1.000 eff_rank=56.43 (180.3s)
[places-dyn] resnet50(silu,sgd) seed=0 epoch= 19/25 train_acc=0.307 test_acc=0.266 active_frac=1.000 eff_rank=56.49 (180.4s)
[places-dyn] resnet50(silu,sgd) seed=0 epoch= 20/25 train_acc=0.324 test_acc=0.284 active_frac=1.000 eff_rank=56.51 (180.3s)
[places-dyn] resnet50(silu,sgd) seed=0 epoch= 21/25 train_acc=0.339 test_acc=0.288 active_frac=1.000 eff_rank=56.80 (190.0s)
[places-dyn] resnet50(silu,sgd) seed=0 epoch= 22/25 train_acc=0.352 test_acc=0.307 active_frac=1.000 eff_rank=56.65 (180.6s)
[places-dyn] resnet50(silu,sgd) seed=0 epoch= 23/25 train_acc=0.361 test_acc=0.309 active_frac=1.000 eff_rank=56.67 (180.5s)
[places-dyn] resnet50(silu,sgd) seed=0 epoch= 24/25 train_acc=0.368 test_acc=0.315 active_frac=1.000 eff_rank=56.82 (180.6s)
[places-dyn] silu seed=0 done in 75.7 min
[places-dyn] resnet50(silu,sgd) seed=1 epoch=  0/25 train_acc=0.004 test_acc=0.006 active_frac=0.996 eff_rank=26.30 (180.3s)
[places-dyn] resnet50(silu,sgd) seed=1 epoch=  1/25 train_acc=0.013 test_acc=0.019 active_frac=0.996 eff_rank=41.09 (180.4s)
[places-dyn] resnet50(silu,sgd) seed=1 epoch=  2/25 train_acc=0.028 test_acc=0.034 active_frac=0.997 eff_rank=48.98 (180.4s)
[places-dyn] resnet50(silu,sgd) seed=1 epoch=  3/25 train_acc=0.056 test_acc=0.065 active_frac=0.998 eff_rank=53.48 (180.5s)
[places-dyn] resnet50(silu,sgd) seed=1 epoch=  4/25 train_acc=0.084 test_acc=0.085 active_frac=0.999 eff_rank=55.97 (193.1s)
[places-dyn] resnet50(silu,sgd) seed=1 epoch=  5/25 train_acc=0.109 test_acc=0.113 active_frac=0.999 eff_rank=56.49 (180.4s)
[places-dyn] resnet50(silu,sgd) seed=1 epoch=  6/25 train_acc=0.133 test_acc=0.128 active_frac=0.999 eff_rank=56.90 (180.4s)
[places-dyn] resnet50(silu,sgd) seed=1 epoch=  7/25 train_acc=0.152 test_acc=0.151 active_frac=1.000 eff_rank=56.98 (180.7s)
[places-dyn] resnet50(silu,sgd) seed=1 epoch=  8/25 train_acc=0.169 test_acc=0.155 active_frac=1.000 eff_rank=57.02 (180.5s)
[places-dyn] resnet50(silu,sgd) seed=1 epoch=  9/25 train_acc=0.182 test_acc=0.150 active_frac=1.000 eff_rank=57.10 (180.4s)
[places-dyn] resnet50(silu,sgd) seed=1 epoch= 10/25 train_acc=0.195 test_acc=0.181 active_frac=1.000 eff_rank=57.07 (180.5s)
[places-dyn] resnet50(silu,sgd) seed=1 epoch= 11/25 train_acc=0.208 test_acc=0.192 active_frac=1.000 eff_rank=56.89 (180.5s)
[places-dyn] resnet50(silu,sgd) seed=1 epoch= 12/25 train_acc=0.225 test_acc=0.199 active_frac=1.000 eff_rank=56.87 (180.5s)
[places-dyn] resnet50(silu,sgd) seed=1 epoch= 13/25 train_acc=0.238 test_acc=0.218 active_frac=1.000 eff_rank=56.92 (180.5s)
[places-dyn] resnet50(silu,sgd) seed=1 epoch= 14/25 train_acc=0.254 test_acc=0.223 active_frac=1.000 eff_rank=56.76 (180.6s)
[places-dyn] resnet50(silu,sgd) seed=1 epoch= 15/25 train_acc=0.266 test_acc=0.234 active_frac=1.000 eff_rank=57.03 (180.6s)
[places-dyn] resnet50(silu,sgd) seed=1 epoch= 16/25 train_acc=0.282 test_acc=0.248 active_frac=1.000 eff_rank=56.97 (180.5s)
[places-dyn] resnet50(silu,sgd) seed=1 epoch= 17/25 train_acc=0.297 test_acc=0.254 active_frac=1.000 eff_rank=56.97 (180.5s)
[places-dyn] resnet50(silu,sgd) seed=1 epoch= 18/25 train_acc=0.312 test_acc=0.266 active_frac=1.000 eff_rank=56.85 (180.5s)
[places-dyn] resnet50(silu,sgd) seed=1 epoch= 19/25 train_acc=0.327 test_acc=0.279 active_frac=1.000 eff_rank=57.10 (180.5s)
