========================================
Job ID       : 11039609
Node         : gilbreth-k043
GPU          : NVIDIA A100 80GB PCIe, 81920 MiB
Start time   : Thu Jun 18 04:25:35 EDT 2026
========================================

Dataset check (already pre-downloaded to ./data on the login node,
shared over /home — compute nodes may not have outbound internet):
total 331459
drwxr-xr-x 4 aelmersa student         6 Jun 18 03:35 .
drwxr-xr-x 9 aelmersa student        17 Jun 18 04:25 ..
drwxr-xr-x 2 aelmersa student        10 Jun  4  2009 cifar-10-batches-py
-rw-r--r-- 1 aelmersa student 170498071 Jun 18 03:33 cifar-10-python.tar.gz
drwxr-xr-x 2 aelmersa student         6 Feb 19  2010 cifar-100-python
-rw-r--r-- 1 aelmersa student 169001437 Jun 18 03:35 cifar-100-python.tar.gz

========================================
Running training-dynamics sweep (Phase 4)
========================================
[train-dyn] device=cuda  archs=['resnet18', 'resnet50', 'vgg11', 'vit_b_16', 'convnext_tiny']  datasets=['cifar10', 'cifar100']  seeds=[0, 1, 2]  epochs=25
[train-dyn] resnet50/cifar10 seed=0 epoch= 10/25 test_acc=0.773 active_frac=0.463 eff_rank=47.66 (19.6s)
[train-dyn] resnet50/cifar10 seed=0 epoch= 11/25 test_acc=0.790 active_frac=0.463 eff_rank=49.00 (19.6s)
[train-dyn] resnet50/cifar10 seed=0 epoch= 12/25 test_acc=0.773 active_frac=0.453 eff_rank=48.72 (19.6s)
[train-dyn] resnet50/cifar10 seed=0 epoch= 13/25 test_acc=0.810 active_frac=0.453 eff_rank=49.42 (19.6s)
[train-dyn] resnet50/cifar10 seed=0 epoch= 14/25 test_acc=0.832 active_frac=0.452 eff_rank=49.97 (19.6s)
[train-dyn] resnet50/cifar10 seed=0 epoch= 15/25 test_acc=0.821 active_frac=0.452 eff_rank=50.13 (19.6s)
[train-dyn] resnet50/cifar10 seed=0 epoch= 16/25 test_acc=0.838 active_frac=0.454 eff_rank=51.17 (19.6s)
[train-dyn] resnet50/cifar10 seed=0 epoch= 17/25 test_acc=0.851 active_frac=0.451 eff_rank=50.99 (19.6s)
[train-dyn] resnet50/cifar10 seed=0 epoch= 18/25 test_acc=0.863 active_frac=0.451 eff_rank=51.23 (19.6s)
[train-dyn] resnet50/cifar10 seed=0 epoch= 19/25 test_acc=0.873 active_frac=0.448 eff_rank=51.03 (19.6s)
[train-dyn] resnet50/cifar10 seed=0 epoch= 20/25 test_acc=0.893 active_frac=0.450 eff_rank=51.35 (19.6s)
[train-dyn] resnet50/cifar10 seed=0 epoch= 21/25 test_acc=0.900 active_frac=0.449 eff_rank=51.60 (19.6s)
[train-dyn] resnet50/cifar10 seed=0 epoch= 22/25 test_acc=0.906 active_frac=0.449 eff_rank=51.59 (19.6s)
[train-dyn] resnet50/cifar10 seed=0 epoch= 23/25 test_acc=0.910 active_frac=0.449 eff_rank=51.60 (19.6s)
[train-dyn] resnet50/cifar10 seed=0 epoch= 24/25 test_acc=0.911 active_frac=0.449 eff_rank=51.76 (19.6s)
[train-dyn] resnet50/cifar10 seed=0 done in 8.2 min
[train-dyn] resnet50/cifar10 seed=1 epoch=  0/25 test_acc=0.278 active_frac=0.546 eff_rank=31.33 (19.7s)
[train-dyn] resnet50/cifar10 seed=1 epoch=  1/25 test_acc=0.403 active_frac=0.539 eff_rank=31.30 (19.6s)
[train-dyn] resnet50/cifar10 seed=1 epoch=  2/25 test_acc=0.460 active_frac=0.534 eff_rank=34.43 (19.6s)
[train-dyn] resnet50/cifar10 seed=1 epoch=  3/25 test_acc=0.531 active_frac=0.525 eff_rank=36.84 (19.6s)
[train-dyn] resnet50/cifar10 seed=1 epoch=  4/25 test_acc=0.616 active_frac=0.516 eff_rank=38.95 (19.6s)
[train-dyn] resnet50/cifar10 seed=1 epoch=  5/25 test_acc=0.680 active_frac=0.505 eff_rank=41.30 (19.6s)
[train-dyn] resnet50/cifar10 seed=1 epoch=  6/25 test_acc=0.630 active_frac=0.498 eff_rank=42.83 (19.6s)
[train-dyn] resnet50/cifar10 seed=1 epoch=  7/25 test_acc=0.719 active_frac=0.490 eff_rank=43.91 (19.6s)
[train-dyn] resnet50/cifar10 seed=1 epoch=  8/25 test_acc=0.689 active_frac=0.484 eff_rank=45.43 (19.6s)
[train-dyn] resnet50/cifar10 seed=1 epoch=  9/25 test_acc=0.724 active_frac=0.477 eff_rank=46.54 (19.6s)
[train-dyn] resnet50/cifar10 seed=1 epoch= 10/25 test_acc=0.777 active_frac=0.474 eff_rank=46.89 (19.6s)
[train-dyn] resnet50/cifar10 seed=1 epoch= 11/25 test_acc=0.752 active_frac=0.472 eff_rank=48.40 (19.6s)
[train-dyn] resnet50/cifar10 seed=1 epoch= 12/25 test_acc=0.785 active_frac=0.469 eff_rank=48.28 (19.6s)
[train-dyn] resnet50/cifar10 seed=1 epoch= 13/25 test_acc=0.821 active_frac=0.464 eff_rank=49.13 (19.6s)
[train-dyn] resnet50/cifar10 seed=1 epoch= 14/25 test_acc=0.816 active_frac=0.460 eff_rank=49.42 (19.6s)
[train-dyn] resnet50/cifar10 seed=1 epoch= 15/25 test_acc=0.843 active_frac=0.462 eff_rank=49.74 (19.6s)
[train-dyn] resnet50/cifar10 seed=1 epoch= 16/25 test_acc=0.810 active_frac=0.464 eff_rank=50.22 (19.6s)
[train-dyn] resnet50/cifar10 seed=1 epoch= 17/25 test_acc=0.865 active_frac=0.463 eff_rank=50.38 (19.6s)
[train-dyn] resnet50/cifar10 seed=1 epoch= 18/25 test_acc=0.880 active_frac=0.460 eff_rank=50.43 (19.6s)
[train-dyn] resnet50/cifar10 seed=1 epoch= 19/25 test_acc=0.886 active_frac=0.461 eff_rank=50.74 (19.6s)
[train-dyn] resnet50/cifar10 seed=1 epoch= 20/25 test_acc=0.885 active_frac=0.463 eff_rank=51.25 (19.6s)
[train-dyn] resnet50/cifar10 seed=1 epoch= 21/25 test_acc=0.907 active_frac=0.462 eff_rank=51.10 (19.6s)
[train-dyn] resnet50/cifar10 seed=1 epoch= 22/25 test_acc=0.907 active_frac=0.463 eff_rank=51.41 (19.6s)
[train-dyn] resnet50/cifar10 seed=1 epoch= 23/25 test_acc=0.912 active_frac=0.463 eff_rank=51.43 (19.6s)
[train-dyn] resnet50/cifar10 seed=1 epoch= 24/25 test_acc=0.916 active_frac=0.463 eff_rank=51.40 (19.6s)
[train-dyn] resnet50/cifar10 seed=1 done in 8.2 min
[train-dyn] resnet50/cifar10 seed=2 epoch=  0/25 test_acc=0.239 active_frac=0.545 eff_rank=22.17 (19.7s)
[train-dyn] resnet50/cifar10 seed=2 epoch=  1/25 test_acc=0.378 active_frac=0.540 eff_rank=28.67 (19.6s)
[train-dyn] resnet50/cifar10 seed=2 epoch=  2/25 test_acc=0.485 active_frac=0.522 eff_rank=30.56 (19.7s)
[train-dyn] resnet50/cifar10 seed=2 epoch=  3/25 test_acc=0.573 active_frac=0.515 eff_rank=36.14 (19.7s)
[train-dyn] resnet50/cifar10 seed=2 epoch=  4/25 test_acc=0.626 active_frac=0.512 eff_rank=40.67 (19.7s)
[train-dyn] resnet50/cifar10 seed=2 epoch=  5/25 test_acc=0.662 active_frac=0.494 eff_rank=41.22 (19.7s)
[train-dyn] resnet50/cifar10 seed=2 epoch=  6/25 test_acc=0.718 active_frac=0.488 eff_rank=43.91 (19.7s)
[train-dyn] resnet50/cifar10 seed=2 epoch=  7/25 test_acc=0.736 active_frac=0.478 eff_rank=44.82 (19.7s)
[train-dyn] resnet50/cifar10 seed=2 epoch=  8/25 test_acc=0.760 active_frac=0.470 eff_rank=46.46 (19.7s)
[train-dyn] resnet50/cifar10 seed=2 epoch=  9/25 test_acc=0.775 active_frac=0.467 eff_rank=47.66 (19.7s)
[train-dyn] resnet50/cifar10 seed=2 epoch= 10/25 test_acc=0.803 active_frac=0.462 eff_rank=48.33 (19.7s)
[train-dyn] resnet50/cifar10 seed=2 epoch= 11/25 test_acc=0.818 active_frac=0.458 eff_rank=48.98 (19.6s)
[train-dyn] resnet50/cifar10 seed=2 epoch= 12/25 test_acc=0.797 active_frac=0.459 eff_rank=49.70 (19.6s)
[train-dyn] resnet50/cifar10 seed=2 epoch= 13/25 test_acc=0.776 active_frac=0.456 eff_rank=50.17 (19.7s)
[train-dyn] resnet50/cifar10 seed=2 epoch= 14/25 test_acc=0.823 active_frac=0.455 eff_rank=51.24 (19.7s)
[train-dyn] resnet50/cifar10 seed=2 epoch= 15/25 test_acc=0.824 active_frac=0.450 eff_rank=51.05 (19.6s)
[train-dyn] resnet50/cifar10 seed=2 epoch= 16/25 test_acc=0.858 active_frac=0.452 eff_rank=51.66 (19.6s)
[train-dyn] resnet50/cifar10 seed=2 epoch= 17/25 test_acc=0.824 active_frac=0.451 eff_rank=51.84 (19.6s)
[train-dyn] resnet50/cifar10 seed=2 epoch= 18/25 test_acc=0.879 active_frac=0.450 eff_rank=52.02 (19.6s)
[train-dyn] resnet50/cifar10 seed=2 epoch= 19/25 test_acc=0.883 active_frac=0.451 eff_rank=52.40 (19.6s)
[train-dyn] resnet50/cifar10 seed=2 epoch= 20/25 test_acc=0.898 active_frac=0.452 eff_rank=52.51 (19.6s)
[train-dyn] resnet50/cifar10 seed=2 epoch= 21/25 test_acc=0.903 active_frac=0.452 eff_rank=52.61 (19.7s)
[train-dyn] resnet50/cifar10 seed=2 epoch= 22/25 test_acc=0.910 active_frac=0.452 eff_rank=52.80 (19.6s)
[train-dyn] resnet50/cifar10 seed=2 epoch= 23/25 test_acc=0.914 active_frac=0.452 eff_rank=52.69 (19.6s)
[train-dyn] resnet50/cifar10 seed=2 epoch= 24/25 test_acc=0.914 active_frac=0.452 eff_rank=52.95 (19.6s)
[train-dyn] resnet50/cifar10 seed=2 done in 8.2 min
[train-dyn] vgg11/cifar10 seed=0 epoch=  0/25 test_acc=0.415 active_frac=0.544 eff_rank=33.98 (13.7s)
[train-dyn] vgg11/cifar10 seed=0 epoch=  1/25 test_acc=0.583 active_frac=0.544 eff_rank=37.86 (13.3s)
[train-dyn] vgg11/cifar10 seed=0 epoch=  2/25 test_acc=0.609 active_frac=0.525 eff_rank=39.89 (13.5s)
[train-dyn] vgg11/cifar10 seed=0 epoch=  3/25 test_acc=0.733 active_frac=0.504 eff_rank=41.40 (13.3s)
[train-dyn] vgg11/cifar10 seed=0 epoch=  4/25 test_acc=0.768 active_frac=0.491 eff_rank=42.05 (13.3s)
[train-dyn] vgg11/cifar10 seed=0 epoch=  5/25 test_acc=0.759 active_frac=0.479 eff_rank=42.84 (13.4s)
[train-dyn] vgg11/cifar10 seed=0 epoch=  6/25 test_acc=0.735 active_frac=0.472 eff_rank=43.27 (13.4s)
[train-dyn] vgg11/cifar10 seed=0 epoch=  7/25 test_acc=0.792 active_frac=0.466 eff_rank=43.66 (13.3s)
[train-dyn] vgg11/cifar10 seed=0 epoch=  8/25 test_acc=0.729 active_frac=0.461 eff_rank=43.43 (13.3s)
[train-dyn] vgg11/cifar10 seed=0 epoch=  9/25 test_acc=0.822 active_frac=0.460 eff_rank=43.58 (13.4s)
[train-dyn] vgg11/cifar10 seed=0 epoch= 10/25 test_acc=0.806 active_frac=0.458 eff_rank=43.74 (13.4s)
[train-dyn] vgg11/cifar10 seed=0 epoch= 11/25 test_acc=0.795 active_frac=0.459 eff_rank=44.20 (13.3s)
[train-dyn] vgg11/cifar10 seed=0 epoch= 12/25 test_acc=0.831 active_frac=0.453 eff_rank=44.06 (13.3s)
[train-dyn] vgg11/cifar10 seed=0 epoch= 13/25 test_acc=0.840 active_frac=0.461 eff_rank=44.47 (13.4s)
[train-dyn] vgg11/cifar10 seed=0 epoch= 14/25 test_acc=0.833 active_frac=0.457 eff_rank=44.19 (13.5s)
[train-dyn] vgg11/cifar10 seed=0 epoch= 15/25 test_acc=0.849 active_frac=0.454 eff_rank=44.27 (13.4s)
[train-dyn] vgg11/cifar10 seed=0 epoch= 16/25 test_acc=0.859 active_frac=0.453 eff_rank=44.56 (13.4s)
[train-dyn] vgg11/cifar10 seed=0 epoch= 17/25 test_acc=0.866 active_frac=0.455 eff_rank=44.80 (13.4s)
[train-dyn] vgg11/cifar10 seed=0 epoch= 18/25 test_acc=0.868 active_frac=0.452 eff_rank=45.00 (13.5s)
[train-dyn] vgg11/cifar10 seed=0 epoch= 19/25 test_acc=0.888 active_frac=0.453 eff_rank=45.10 (13.4s)
[train-dyn] vgg11/cifar10 seed=0 epoch= 20/25 test_acc=0.896 active_frac=0.453 eff_rank=45.08 (13.4s)
[train-dyn] vgg11/cifar10 seed=0 epoch= 21/25 test_acc=0.898 active_frac=0.454 eff_rank=45.22 (13.3s)
[train-dyn] vgg11/cifar10 seed=0 epoch= 22/25 test_acc=0.904 active_frac=0.453 eff_rank=45.21 (13.5s)
[train-dyn] vgg11/cifar10 seed=0 epoch= 23/25 test_acc=0.907 active_frac=0.454 eff_rank=45.57 (13.4s)
[train-dyn] vgg11/cifar10 seed=0 epoch= 24/25 test_acc=0.910 active_frac=0.454 eff_rank=45.49 (13.4s)
[train-dyn] vgg11/cifar10 seed=0 done in 5.6 min
[train-dyn] vgg11/cifar10 seed=1 epoch=  0/25 test_acc=0.425 active_frac=0.541 eff_rank=33.91 (13.5s)
[train-dyn] vgg11/cifar10 seed=1 epoch=  1/25 test_acc=0.540 active_frac=0.538 eff_rank=37.50 (13.4s)
[train-dyn] vgg11/cifar10 seed=1 epoch=  2/25 test_acc=0.591 active_frac=0.530 eff_rank=40.41 (13.4s)
