Job ID: 11044075  Node: gilbreth-k050  Start: Thu Jun 18 18:34:58 EDT 2026
[train-dyn] device=cuda  archs=['resnet18', 'vgg11']  datasets=['cifar10', 'cifar100']  seeds=[0, 1, 2]  epochs=25
[train-dyn] resnet18(silu)/cifar10 seed=1 epoch= 11/25 train_acc=0.847 test_acc=0.831 active_frac=0.997 eff_rank=56.23 grad_norm=1.94 (18.1s)
[train-dyn] resnet18(silu)/cifar10 seed=1 epoch= 12/25 train_acc=0.858 test_acc=0.828 active_frac=0.997 eff_rank=56.44 grad_norm=2.58 (18.1s)
[train-dyn] resnet18(silu)/cifar10 seed=1 epoch= 13/25 train_acc=0.866 test_acc=0.850 active_frac=0.997 eff_rank=56.25 grad_norm=2.17 (18.1s)
[train-dyn] resnet18(silu)/cifar10 seed=1 epoch= 14/25 train_acc=0.873 test_acc=0.866 active_frac=0.997 eff_rank=56.46 grad_norm=2.19 (18.1s)
[train-dyn] resnet18(silu)/cifar10 seed=1 epoch= 15/25 train_acc=0.884 test_acc=0.862 active_frac=0.997 eff_rank=56.40 grad_norm=2.6 (18.2s)
[train-dyn] resnet18(silu)/cifar10 seed=1 epoch= 16/25 train_acc=0.891 test_acc=0.867 active_frac=0.997 eff_rank=56.33 grad_norm=3.11 (18.1s)
[train-dyn] resnet18(silu)/cifar10 seed=1 epoch= 17/25 train_acc=0.901 test_acc=0.877 active_frac=0.997 eff_rank=56.49 grad_norm=3.43 (18.1s)
[train-dyn] resnet18(silu)/cifar10 seed=1 epoch= 18/25 train_acc=0.912 test_acc=0.887 active_frac=0.997 eff_rank=56.68 grad_norm=3.52 (18.2s)
[train-dyn] resnet18(silu)/cifar10 seed=1 epoch= 19/25 train_acc=0.920 test_acc=0.892 active_frac=0.997 eff_rank=56.57 grad_norm=3.72 (18.2s)
[train-dyn] resnet18(silu)/cifar10 seed=1 epoch= 20/25 train_acc=0.930 test_acc=0.899 active_frac=0.997 eff_rank=56.60 grad_norm=3.32 (18.1s)
[train-dyn] resnet18(silu)/cifar10 seed=1 epoch= 21/25 train_acc=0.939 test_acc=0.908 active_frac=0.997 eff_rank=56.56 grad_norm=3.79 (18.2s)
[train-dyn] resnet18(silu)/cifar10 seed=1 epoch= 22/25 train_acc=0.947 test_acc=0.914 active_frac=0.997 eff_rank=56.88 grad_norm=3.78 (18.1s)
[train-dyn] resnet18(silu)/cifar10 seed=1 epoch= 23/25 train_acc=0.954 test_acc=0.915 active_frac=0.997 eff_rank=56.80 grad_norm=3.73 (18.2s)
[train-dyn] resnet18(silu)/cifar10 seed=1 epoch= 24/25 train_acc=0.956 test_acc=0.916 active_frac=0.997 eff_rank=56.59 grad_norm=3.77 (18.1s)
[train-dyn] resnet18(silu)/cifar10 seed=1 done in 7.6 min
[train-dyn] resnet18(silu)/cifar10 seed=2 epoch=  0/25 train_acc=0.336 test_acc=0.438 active_frac=0.994 eff_rank=44.72 grad_norm=1.12 (18.3s)
[train-dyn] resnet18(silu)/cifar10 seed=2 epoch=  1/25 train_acc=0.530 test_acc=0.573 active_frac=0.994 eff_rank=50.67 grad_norm=1.27 (18.1s)
[train-dyn] resnet18(silu)/cifar10 seed=2 epoch=  2/25 train_acc=0.650 test_acc=0.672 active_frac=0.994 eff_rank=54.16 grad_norm=1.33 (18.1s)
[train-dyn] resnet18(silu)/cifar10 seed=2 epoch=  3/25 train_acc=0.715 test_acc=0.713 active_frac=0.995 eff_rank=55.55 grad_norm=1.59 (18.2s)
[train-dyn] resnet18(silu)/cifar10 seed=2 epoch=  4/25 train_acc=0.754 test_acc=0.777 active_frac=0.996 eff_rank=55.99 grad_norm=1.28 (18.1s)
[train-dyn] resnet18(silu)/cifar10 seed=2 epoch=  5/25 train_acc=0.780 test_acc=0.781 active_frac=0.997 eff_rank=56.11 grad_norm=1.46 (18.1s)
[train-dyn] resnet18(silu)/cifar10 seed=2 epoch=  6/25 train_acc=0.795 test_acc=0.774 active_frac=0.997 eff_rank=56.31 grad_norm=1.54 (18.1s)
[train-dyn] resnet18(silu)/cifar10 seed=2 epoch=  7/25 train_acc=0.806 test_acc=0.771 active_frac=0.997 eff_rank=56.30 grad_norm=1.59 (18.2s)
[train-dyn] resnet18(silu)/cifar10 seed=2 epoch=  8/25 train_acc=0.820 test_acc=0.814 active_frac=0.997 eff_rank=56.43 grad_norm=1.74 (18.2s)
[train-dyn] resnet18(silu)/cifar10 seed=2 epoch=  9/25 train_acc=0.830 test_acc=0.813 active_frac=0.997 eff_rank=56.39 grad_norm=1.58 (18.1s)
[train-dyn] resnet18(silu)/cifar10 seed=2 epoch= 10/25 train_acc=0.837 test_acc=0.837 active_frac=0.997 eff_rank=56.29 grad_norm=1.77 (18.2s)
[train-dyn] resnet18(silu)/cifar10 seed=2 epoch= 11/25 train_acc=0.848 test_acc=0.837 active_frac=0.997 eff_rank=56.40 grad_norm=1.8 (18.1s)
[train-dyn] resnet18(silu)/cifar10 seed=2 epoch= 12/25 train_acc=0.856 test_acc=0.843 active_frac=0.997 eff_rank=56.43 grad_norm=1.77 (18.3s)
[train-dyn] resnet18(silu)/cifar10 seed=2 epoch= 13/25 train_acc=0.866 test_acc=0.849 active_frac=0.997 eff_rank=56.43 grad_norm=2.16 (18.1s)
[train-dyn] resnet18(silu)/cifar10 seed=2 epoch= 14/25 train_acc=0.874 test_acc=0.859 active_frac=0.997 eff_rank=56.39 grad_norm=1.94 (18.1s)
